Dataset,Method,Epoch,Time,x,Train,Val,Test
ogbn-arxiv,Simulation-4,45,3.1789,1.1863,0.6571,0.6652,0.6595
ogbn-arxiv,Simulation-4,46,3.2454,1.1822,0.6578,0.6657,0.6600
ogbn-arxiv,Simulation-4,47,3.3117,1.1794,0.6589,0.6664,0.6605
ogbn-arxiv,Simulation-4,48,3.3757,1.1760,0.6599,0.6673,0.6613
ogbn-arxiv,Simulation-4,49,3.4438,1.1723,0.6609,0.6679,0.6616
ogbn-arxiv,DDP-4,00,0.0540,3.5903,0.2730,0.2930,0.2642
ogbn-arxiv,DDP-4,01,0.0741,3.3681,0.2662,0.2792,0.2539
ogbn-arxiv,DDP-4,02,0.0943,3.1289,0.2571,0.2600,0.2359
ogbn-arxiv,DDP-4,03,0.1144,2.9555,0.2500,0.2418,0.2196
ogbn-arxiv,DDP-4,04,0.1346,2.8960,0.2549,0.2529,0.2293
ogbn-arxiv,DDP-4,05,0.1535,2.8364,0.2687,0.2852,0.2589
ogbn-arxiv,DDP-4,06,0.1720,2.7603,0.2775,0.2989,0.2694
ogbn-arxiv,DDP-4,07,0.1915,2.6969,0.2844,0.3043,0.2762
ogbn-arxiv,DDP-4,08,0.2104,2.6267,0.2905,0.3110,0.2863
ogbn-arxiv,DDP-4,09,0.2293,2.5506,0.2989,0.3198,0.2996
ogbn-arxiv,DDP-4,10,0.2487,2.4745,0.3204,0.3370,0.3177
ogbn-arxiv,DDP-4,11,0.2673,2.3984,0.3477,0.3591,0.3412
ogbn-arxiv,DDP-4,12,0.2860,2.3234,0.3677,0.3816,0.3647
ogbn-arxiv,DDP-4,13,0.3052,2.2526,0.3895,0.4092,0.3967
ogbn-arxiv,DDP-4,14,0.3239,2.1855,0.4139,0.4393,0.4311
ogbn-arxiv,DDP-4,15,0.3424,2.1230,0.4333,0.4607,0.4511
ogbn-arxiv,DDP-4,16,0.3614,2.0621,0.4499,0.4790,0.4760
ogbn-arxiv,DDP-4,17,0.3800,2.0094,0.4638,0.4957,0.4968
ogbn-arxiv,DDP-4,18,0.3985,1.9592,0.4745,0.5082,0.5087
ogbn-arxiv,DDP-4,19,0.4176,1.9111,0.4843,0.5204,0.5215
ogbn-arxiv,DDP-4,20,0.4363,1.8696,0.4934,0.5299,0.5318
ogbn-arxiv,DDP-4,21,0.4551,1.8296,0.5019,0.5381,0.5396
ogbn-arxiv,DDP-4,22,0.4743,1.7944,0.5113,0.5460,0.5475
ogbn-arxiv,DDP-4,23,0.4931,1.7578,0.5198,0.5535,0.5554
ogbn-arxiv,DDP-4,24,0.5121,1.7253,0.5281,0.5612,0.5630
ogbn-arxiv,DDP-4,25,0.5313,1.6974,0.5356,0.5676,0.5671
ogbn-arxiv,DDP-4,26,0.5502,1.6694,0.5441,0.5730,0.5742
ogbn-arxiv,DDP-4,27,0.5686,1.6435,0.5514,0.5786,0.5786
ogbn-arxiv,DDP-4,28,0.5877,1.6143,0.5585,0.5850,0.5838
ogbn-arxiv,DDP-4,29,0.6065,1.5926,0.5645,0.5897,0.5887
ogbn-arxiv,DDP-4,30,0.6254,1.5710,0.5696,0.5936,0.5934
ogbn-arxiv,DDP-4,31,0.6446,1.5497,0.5753,0.5977,0.5961
ogbn-arxiv,DDP-4,32,0.6635,1.5343,0.5788,0.6014,0.6002
ogbn-arxiv,DDP-4,33,0.6824,1.5170,0.5825,0.6048,0.6025
ogbn-arxiv,DDP-4,34,0.7015,1.5006,0.5860,0.6069,0.6043
ogbn-arxiv,DDP-4,35,0.7203,1.4853,0.5892,0.6095,0.6078
ogbn-arxiv,DDP-4,36,0.7390,1.4732,0.5918,0.6115,0.6096
ogbn-arxiv,DDP-4,37,0.7584,1.4621,0.5944,0.6142,0.6123
ogbn-arxiv,DDP-4,38,0.7768,1.4475,0.5968,0.6164,0.6140
ogbn-arxiv,DDP-4,39,0.7957,1.4341,0.5990,0.6179,0.6150
ogbn-arxiv,DDP-4,40,0.8149,1.4240,0.6011,0.6198,0.6181
ogbn-arxiv,DDP-4,41,0.8334,1.4112,0.6026,0.6214,0.6191
ogbn-arxiv,DDP-4,42,0.8526,1.4041,0.6041,0.6225,0.6209
