Dataset,Method,Epoch,Time,x,Train,Val,Test
flickr,DDP-4,23,0.5120,1.4148,0.5116,0.5007,0.4999
flickr,DDP-4,24,0.5304,1.4101,0.5125,0.5014,0.5002
flickr,DDP-4,25,0.5491,1.4058,0.5133,0.5022,0.5014
flickr,DDP-4,26,0.5675,1.4032,0.5130,0.5013,0.5008
flickr,DDP-4,27,0.5861,1.3990,0.5139,0.5013,0.5012
flickr,DDP-4,28,0.6047,1.3956,0.5147,0.5014,0.5014
flickr,DDP-4,29,0.6235,1.3920,0.5149,0.5022,0.5002
flickr,DDP-4,30,0.6420,1.3900,0.5150,0.5016,0.5010
flickr,DDP-4,31,0.6607,1.3867,0.5154,0.5012,0.4998
flickr,DDP-4,32,0.6795,1.3802,0.5165,0.5009,0.5012
flickr,DDP-4,33,0.6983,1.3787,0.5176,0.5007,0.5002
flickr,DDP-4,34,0.7169,1.3762,0.5178,0.5009,0.5000
flickr,DDP-4,35,0.7355,1.3707,0.5189,0.5018,0.5004
flickr,DDP-4,36,0.7542,1.3692,0.5196,0.5004,0.5004
flickr,DDP-4,37,0.7726,1.3676,0.5192,0.5006,0.4996
flickr,DDP-4,38,0.7911,1.3617,0.5198,0.5004,0.4996
flickr,DDP-4,39,0.8097,1.3588,0.5211,0.5004,0.4981
flickr,DDP-4,40,0.8287,1.3567,0.5218,0.5007,0.4978
flickr,DDP-4,41,0.8479,1.3529,0.5221,0.4999,0.4974
flickr,DDP-4,42,0.8661,1.3478,0.5232,0.5009,0.4971
flickr,DDP-4,43,0.8847,1.3467,0.5245,0.5004,0.4970
flickr,DDP-4,44,0.9031,1.3447,0.5251,0.5012,0.4976
flickr,DDP-4,45,0.9215,1.3432,0.5265,0.5007,0.4965
flickr,DDP-4,46,0.9401,1.3381,0.5266,0.5004,0.4964
flickr,DDP-4,47,0.9586,1.3344,0.5277,0.4992,0.4952
flickr,DDP-4,48,0.9772,1.3317,0.5279,0.4983,0.4955
flickr,DDP-4,49,0.9959,1.3280,0.5281,0.5009,0.4970
flickr,Simulation-8,00,0.2479,1.8398,0.4208,0.4239,0.4225
flickr,Simulation-8,01,0.3208,1.7091,0.4293,0.4315,0.4308
flickr,Simulation-8,02,0.3942,1.6490,0.3610,0.3552,0.3567
flickr,Simulation-8,03,0.4646,1.6072,0.4299,0.4336,0.4320
flickr,Simulation-8,04,0.5355,1.5939,0.4524,0.4538,0.4557
flickr,Simulation-8,05,0.6062,1.5793,0.4633,0.4570,0.4610
flickr,Simulation-8,06,0.6772,1.5633,0.4607,0.4597,0.4639
flickr,Simulation-8,07,0.7477,1.5516,0.4671,0.4655,0.4708
flickr,Simulation-8,08,0.8178,1.5391,0.4717,0.4689,0.4712
flickr,Simulation-8,09,0.8884,1.5263,0.4775,0.4757,0.4786
flickr,Simulation-8,10,0.9589,1.5117,0.4840,0.4802,0.4852
flickr,Simulation-8,11,1.0296,1.4989,0.4885,0.4843,0.4881
flickr,Simulation-8,12,1.1003,1.4862,0.4928,0.4880,0.4899
flickr,Simulation-8,13,1.1706,1.4739,0.4967,0.4916,0.4932
flickr,Simulation-8,14,1.2408,1.4626,0.4991,0.4943,0.4954
flickr,Simulation-8,15,1.3117,1.4519,0.5027,0.4957,0.4962
flickr,Simulation-8,16,1.3825,1.4430,0.5055,0.4983,0.4967
flickr,Simulation-8,17,1.4534,1.4338,0.5082,0.4988,0.4986
flickr,Simulation-8,18,1.5243,1.4254,0.5105,0.4997,0.5001
flickr,Simulation-8,19,1.5950,1.4175,0.5119,0.4995,0.4999
flickr,Simulation-8,20,1.6650,1.4100,0.5131,0.5003,0.5011
flickr,Simulation-8,21,1.7355,1.4031,0.5153,0.5009,0.5024
flickr,Simulation-8,22,1.8088,1.3964,0.5165,0.5014,0.5025
flickr,Simulation-8,23,1.8790,1.3896,0.5184,0.5020,0.5033
flickr,Simulation-8,24,1.9496,1.3828,0.5189,0.5026,0.5033
flickr,Simulation-8,25,2.0200,1.3770,0.5209,0.5022,0.5031
flickr,Simulation-8,26,2.0906,1.3712,0.5230,0.5028,0.5032
flickr,Simulation-8,27,2.1611,1.3648,0.5242,0.5014,0.5039
flickr,Simulation-8,28,2.2313,1.3582,0.5257,0.5026,0.5044
flickr,Simulation-8,29,2.3000,1.3532,0.5267,0.5013,0.5040
flickr,Simulation-8,30,2.3696,1.3462,0.5270,0.5004,0.5038
flickr,Simulation-8,31,2.4395,1.3415,0.5282,0.5009,0.5036
flickr,Simulation-8,32,2.5100,1.3353,0.5291,0.5003,0.5037
flickr,Simulation-8,33,2.5806,1.3307,0.5304,0.5004,0.5025
flickr,Simulation-8,34,2.6509,1.3265,0.5313,0.5005,0.5040
flickr,Simulation-8,35,2.7210,1.3213,0.5329,0.5000,0.5036
flickr,Simulation-8,36,2.7910,1.3161,0.5332,0.5004,0.5048
flickr,Simulation-8,37,2.8614,1.3112,0.5353,0.4991,0.5037
flickr,Simulation-8,38,2.9319,1.3055,0.5362,0.4995,0.5027
flickr,Simulation-8,39,3.0021,1.2995,0.5371,0.4992,0.5028
flickr,Simulation-8,40,3.0724,1.2955,0.5376,0.4989,0.5029
flickr,Simulation-8,41,3.1430,1.2901,0.5395,0.4984,0.5019
flickr,Simulation-8,42,3.2101,1.2843,0.5406,0.4991,0.5017
flickr,Simulation-8,43,3.2804,1.2818,0.5405,0.4984,0.5013
flickr,Simulation-8,44,3.3486,1.2757,0.5433,0.4967,0.4986
flickr,Simulation-8,45,3.4163,1.2697,0.5448,0.4972,0.4979
flickr,Simulation-8,46,3.4873,1.2665,0.5457,0.4971,0.4989
flickr,Simulation-8,47,3.5565,1.2615,0.5484,0.4969,0.4972
flickr,Simulation-8,48,3.6256,1.2569,0.5480,0.4963,0.4972
flickr,Simulation-8,49,3.6960,1.2514,0.5499,0.4955,0.4972
flickr,DDP-8,00,1.1231,1.9094,0.4150,0.4144,0.4182
flickr,DDP-8,01,1.1339,1.7401,0.4258,0.4256,0.4279
flickr,DDP-8,02,1.1436,1.6418,0.4431,0.4415,0.4449
flickr,DDP-8,03,1.1535,1.6165,0.4477,0.4452,0.4488
flickr,DDP-8,04,1.1631,1.6136,0.4511,0.4498,0.4538
flickr,DDP-8,05,1.1727,1.6037,0.4541,0.4533,0.4567
flickr,DDP-8,06,1.1826,1.5909,0.4587,0.4576,0.4589
flickr,DDP-8,07,1.1916,1.5828,0.4615,0.4596,0.4605
flickr,DDP-8,08,1.2007,1.5745,0.4652,0.4635,0.4644
flickr,DDP-8,09,1.2099,1.5683,0.4664,0.4670,0.4671
flickr,DDP-8,10,1.2188,1.5613,0.4706,0.4689,0.4689
flickr,DDP-8,11,1.2279,1.5518,0.4726,0.4710,0.4713
flickr,DDP-8,12,1.2372,1.5473,0.4748,0.4719,0.4732
flickr,DDP-8,13,1.2460,1.5408,0.4776,0.4733,0.4750
flickr,DDP-8,14,1.2550,1.5326,0.4799,0.4763,0.4773
flickr,DDP-8,15,1.2642,1.5285,0.4814,0.4778,0.4780
flickr,DDP-8,16,1.2732,1.5227,0.4835,0.4793,0.4788
flickr,DDP-8,17,1.2822,1.5138,0.4849,0.4797,0.4801
flickr,DDP-8,18,1.2913,1.5114,0.4863,0.4809,0.4799
flickr,DDP-8,19,1.3003,1.5070,0.4871,0.4821,0.4823
flickr,DDP-8,20,1.3093,1.4997,0.4881,0.4834,0.4845
flickr,DDP-8,21,1.3185,1.4971,0.4898,0.4844,0.4856
flickr,DDP-8,22,1.3275,1.4920,0.4914,0.4854,0.4874
flickr,DDP-8,23,1.3364,1.4865,0.4924,0.4862,0.4881
flickr,DDP-8,24,1.3457,1.4824,0.4946,0.4874,0.4901
flickr,DDP-8,25,1.3547,1.4787,0.4953,0.4897,0.4905
flickr,DDP-8,26,1.3637,1.4748,0.4973,0.4902,0.4915
flickr,DDP-8,27,1.3729,1.4680,0.4980,0.4914,0.4927
flickr,DDP-8,28,1.3818,1.4666,0.4996,0.4926,0.4929
flickr,DDP-8,29,1.3908,1.4630,0.5008,0.4934,0.4941
flickr,DDP-8,30,1.4001,1.4606,0.5020,0.4946,0.4946
flickr,DDP-8,31,1.4090,1.4543,0.5032,0.4949,0.4950
flickr,DDP-8,32,1.4180,1.4521,0.5042,0.4953,0.4965
flickr,DDP-8,33,1.4272,1.4485,0.5047,0.4952,0.4965
flickr,DDP-8,34,1.4362,1.4452,0.5059,0.4949,0.4966
flickr,DDP-8,35,1.4451,1.4441,0.5058,0.4963,0.4972
flickr,DDP-8,36,1.4543,1.4365,0.5071,0.4961,0.4970
flickr,DDP-8,37,1.4632,1.4363,0.5072,0.4964,0.4976
flickr,DDP-8,38,1.4722,1.4353,0.5083,0.4971,0.4982
flickr,DDP-8,39,1.4813,1.4299,0.5087,0.4965,0.4979
flickr,DDP-8,40,1.4903,1.4278,0.5088,0.4976,0.4989
flickr,DDP-8,41,1.4993,1.4234,0.5101,0.4973,0.4982
flickr,DDP-8,42,1.5085,1.4204,0.5097,0.4972,0.4982
flickr,DDP-8,43,1.5174,1.4148,0.5106,0.4987,0.4984
flickr,DDP-8,44,1.5265,1.4179,0.5115,0.4990,0.4979
flickr,DDP-8,45,1.5357,1.4130,0.5103,0.4975,0.4986
flickr,DDP-8,46,1.5447,1.4145,0.5123,0.4990,0.4989
flickr,DDP-8,47,1.5537,1.4101,0.5115,0.4991,0.4986
flickr,DDP-8,48,1.5628,1.4080,0.5135,0.4997,0.4987
flickr,DDP-8,49,1.5718,1.4052,0.5141,0.5002,0.4987
