Dataset,Method,Epoch,Time,x,Train,Val,Test
flickr,Simulation-8,13,1.9552,1.4673,0.4983,0.4922,0.4944
flickr,Simulation-8,14,2.0886,1.4614,0.5011,0.4926,0.4952
flickr,Simulation-8,15,2.2166,1.4531,0.5030,0.4930,0.4960
flickr,Simulation-8,16,2.3445,1.4478,0.5045,0.4949,0.4972
flickr,Simulation-8,17,2.4723,1.4418,0.5067,0.4962,0.4990
flickr,Simulation-8,18,2.6000,1.4374,0.5078,0.4948,0.4989
flickr,Simulation-8,19,2.7281,1.4336,0.5082,0.4952,0.4994
flickr,Simulation-8,20,2.8561,1.4296,0.5081,0.4947,0.4988
flickr,Simulation-8,21,2.9840,1.4251,0.5096,0.4934,0.4993
flickr,Simulation-8,22,3.1123,1.4230,0.5089,0.4940,0.4998
flickr,Simulation-8,23,3.2401,1.4212,0.5090,0.4935,0.4988
flickr,Simulation-8,24,3.3679,1.4156,0.5114,0.4932,0.4984
flickr,Simulation-8,25,3.4956,1.4142,0.5099,0.4919,0.4981
flickr,Simulation-8,26,3.6235,1.4128,0.5108,0.4920,0.4960
flickr,Simulation-8,27,3.7514,1.4102,0.5106,0.4898,0.4948
flickr,Simulation-8,28,3.8792,1.4069,0.5113,0.4912,0.4944
flickr,Simulation-8,29,4.0071,1.4039,0.5104,0.4881,0.4933
flickr,Simulation-8,30,4.1351,1.4025,0.5121,0.4897,0.4941
flickr,Simulation-8,31,4.2630,1.4029,0.5108,0.4885,0.4937
flickr,Simulation-8,32,4.3909,1.4013,0.5121,0.4903,0.4933
flickr,Simulation-8,33,4.5188,1.3991,0.5119,0.4889,0.4927
flickr,Simulation-8,34,4.6466,1.3975,0.5126,0.4898,0.4945
flickr,Simulation-8,35,4.7745,1.3959,0.5120,0.4888,0.4932
flickr,Simulation-8,36,4.9024,1.3952,0.5131,0.4872,0.4941
flickr,Simulation-8,37,5.0300,1.3922,0.5136,0.4892,0.4946
flickr,Simulation-8,38,5.1578,1.3930,0.5139,0.4877,0.4914
flickr,Simulation-8,39,5.2855,1.3906,0.5132,0.4875,0.4913
flickr,Simulation-8,40,5.4133,1.3908,0.5145,0.4875,0.4911
flickr,Simulation-8,41,5.5411,1.3885,0.5146,0.4877,0.4910
flickr,Simulation-8,42,5.6689,1.3891,0.5155,0.4867,0.4907
flickr,Simulation-8,43,5.7966,1.3858,0.5156,0.4873,0.4903
flickr,Simulation-8,44,5.9247,1.3881,0.5155,0.4853,0.4884
flickr,Simulation-8,45,6.0526,1.3873,0.5154,0.4852,0.4892
flickr,Simulation-8,46,6.1803,1.3862,0.5175,0.4846,0.4898
flickr,Simulation-8,47,6.3081,1.3845,0.5163,0.4836,0.4864
flickr,Simulation-8,48,6.4359,1.3848,0.5165,0.4820,0.4853
flickr,Simulation-8,49,6.5639,1.3827,0.5183,0.4852,0.4893
flickr,DDP-8,00,0.0789,2.0965,0.4102,0.4122,0.4122
flickr,DDP-8,01,0.1018,1.8321,0.4047,0.4023,0.4013
flickr,DDP-8,02,0.1250,1.6850,0.3111,0.3103,0.3083
flickr,DDP-8,03,0.1466,1.6692,0.4098,0.4096,0.4086
flickr,DDP-8,04,0.1682,1.6554,0.4353,0.4355,0.4379
flickr,DDP-8,05,0.1889,1.6313,0.4331,0.4336,0.4355
flickr,DDP-8,06,0.2096,1.6140,0.4395,0.4406,0.4407
flickr,DDP-8,07,0.2299,1.6091,0.4494,0.4480,0.4492
flickr,DDP-8,08,0.2502,1.6002,0.4547,0.4530,0.4555
flickr,DDP-8,09,0.2705,1.5868,0.4570,0.4543,0.4570
flickr,DDP-8,10,0.2910,1.5852,0.4597,0.4559,0.4594
