Dataset,Method,Epoch,Time,x,Train,Val,Test
ogbn-arxiv,DDP-4,31,1.0061,1.5380,0.5740,0.5959,0.5949
ogbn-arxiv,DDP-4,32,1.0360,1.5195,0.5780,0.5989,0.5963
ogbn-arxiv,DDP-4,33,1.0659,1.5024,0.5816,0.6021,0.6005
ogbn-arxiv,DDP-4,34,1.0957,1.4867,0.5849,0.6039,0.6023
ogbn-arxiv,DDP-4,35,1.1255,1.4758,0.5876,0.6062,0.6053
ogbn-arxiv,DDP-4,36,1.1554,1.4614,0.5901,0.6084,0.6076
ogbn-arxiv,DDP-4,37,1.1853,1.4465,0.5932,0.6117,0.6104
ogbn-arxiv,DDP-4,38,1.2151,1.4350,0.5961,0.6140,0.6127
ogbn-arxiv,DDP-4,39,1.2450,1.4250,0.5986,0.6158,0.6145
ogbn-arxiv,DDP-4,40,1.2874,1.4146,0.6008,0.6171,0.6165
ogbn-arxiv,DDP-4,41,1.3172,1.4051,0.6028,0.6185,0.6183
ogbn-arxiv,DDP-4,42,1.3471,1.3953,0.6046,0.6203,0.6204
ogbn-arxiv,DDP-4,43,1.3770,1.3854,0.6061,0.6217,0.6227
ogbn-arxiv,DDP-4,44,1.4069,1.3766,0.6079,0.6238,0.6239
ogbn-arxiv,DDP-4,45,1.4367,1.3673,0.6096,0.6253,0.6249
ogbn-arxiv,DDP-4,46,1.4666,1.3626,0.6110,0.6264,0.6262
ogbn-arxiv,DDP-4,47,1.4965,1.3522,0.6125,0.6280,0.6280
ogbn-arxiv,DDP-4,48,1.5263,1.3467,0.6139,0.6294,0.6293
ogbn-arxiv,DDP-4,49,1.5562,1.3396,0.6153,0.6298,0.6299
ogbn-arxiv,Simulation-8,00,0.1400,3.5705,0.2025,0.1289,0.1057
ogbn-arxiv,Simulation-8,01,0.2273,3.3242,0.1860,0.0885,0.0698
ogbn-arxiv,Simulation-8,02,0.3149,3.0770,0.1868,0.0899,0.0704
ogbn-arxiv,Simulation-8,03,0.4023,2.9457,0.2153,0.1563,0.1289
ogbn-arxiv,Simulation-8,04,0.4896,2.9022,0.2640,0.2738,0.2473
ogbn-arxiv,Simulation-8,05,0.5769,2.8356,0.2763,0.2967,0.2671
ogbn-arxiv,Simulation-8,06,0.6641,2.7666,0.2770,0.2973,0.2678
ogbn-arxiv,Simulation-8,07,0.7514,2.7035,0.2770,0.2970,0.2671
ogbn-arxiv,Simulation-8,08,0.8387,2.6350,0.2799,0.2995,0.2692
ogbn-arxiv,Simulation-8,09,0.9259,2.5646,0.2848,0.3029,0.2729
ogbn-arxiv,Simulation-8,10,1.0131,2.4923,0.3020,0.3169,0.2922
ogbn-arxiv,Simulation-8,11,1.1004,2.4211,0.3276,0.3364,0.3148
ogbn-arxiv,Simulation-8,12,1.1877,2.3514,0.3454,0.3489,0.3256
ogbn-arxiv,Simulation-8,13,1.2751,2.2843,0.3613,0.3631,0.3424
ogbn-arxiv,Simulation-8,14,1.3624,2.2204,0.3864,0.3952,0.3783
ogbn-arxiv,Simulation-8,15,1.4496,2.1615,0.4136,0.4275,0.4172
ogbn-arxiv,Simulation-8,16,1.5369,2.1045,0.4324,0.4495,0.4430
ogbn-arxiv,Simulation-8,17,1.6242,2.0524,0.4484,0.4677,0.4644
ogbn-arxiv,Simulation-8,18,1.7114,2.0029,0.4636,0.4873,0.4870
ogbn-arxiv,Simulation-8,19,1.7987,1.9581,0.4767,0.5031,0.5045
ogbn-arxiv,Simulation-8,20,1.8860,1.9158,0.4874,0.5143,0.5151
ogbn-arxiv,Simulation-8,21,1.9732,1.8760,0.4961,0.5241,0.5253
ogbn-arxiv,Simulation-8,22,2.0605,1.8402,0.5040,0.5351,0.5382
ogbn-arxiv,Simulation-8,23,2.1478,1.8054,0.5109,0.5410,0.5432
ogbn-arxiv,Simulation-8,24,2.2351,1.7734,0.5178,0.5469,0.5477
ogbn-arxiv,Simulation-8,25,2.3223,1.7437,0.5244,0.5546,0.5564
ogbn-arxiv,Simulation-8,26,2.4096,1.7167,0.5308,0.5610,0.5625
ogbn-arxiv,Simulation-8,27,2.4968,1.6902,0.5369,0.5660,0.5669
ogbn-arxiv,Simulation-8,28,2.5841,1.6659,0.5425,0.5707,0.5711
ogbn-arxiv,Simulation-8,29,2.6713,1.6438,0.5478,0.5760,0.5756
ogbn-arxiv,Simulation-8,30,2.7586,1.6234,0.5522,0.5806,0.5814
ogbn-arxiv,Simulation-8,31,2.8458,1.6028,0.5578,0.5856,0.5856
ogbn-arxiv,Simulation-8,32,2.9331,1.5855,0.5624,0.5882,0.5874
ogbn-arxiv,Simulation-8,33,3.0204,1.5670,0.5666,0.5925,0.5923
ogbn-arxiv,Simulation-8,34,3.1076,1.5523,0.5704,0.5942,0.5936
ogbn-arxiv,Simulation-8,35,3.1949,1.5363,0.5750,0.5976,0.5965
ogbn-arxiv,Simulation-8,36,3.2822,1.5228,0.5787,0.6005,0.6001
ogbn-arxiv,Simulation-8,37,3.3695,1.5101,0.5817,0.6029,0.6014
ogbn-arxiv,Simulation-8,38,3.4568,1.4956,0.5840,0.6043,0.6034
ogbn-arxiv,Simulation-8,39,3.5441,1.4831,0.5876,0.6071,0.6047
ogbn-arxiv,Simulation-8,40,3.6315,1.4739,0.5896,0.6098,0.6065
ogbn-arxiv,Simulation-8,41,3.7187,1.4624,0.5923,0.6116,0.6089
ogbn-arxiv,Simulation-8,42,3.8060,1.4513,0.5947,0.6132,0.6113
ogbn-arxiv,Simulation-8,43,3.8946,1.4430,0.5963,0.6143,0.6134
ogbn-arxiv,Simulation-8,44,3.9818,1.4345,0.5991,0.6164,0.6132
ogbn-arxiv,Simulation-8,45,4.0690,1.4248,0.6003,0.6175,0.6156
ogbn-arxiv,Simulation-8,46,4.1563,1.4172,0.6021,0.6179,0.6166
ogbn-arxiv,Simulation-8,47,4.2437,1.4083,0.6046,0.6203,0.6191
ogbn-arxiv,Simulation-8,48,4.3309,1.4000,0.6053,0.6211,0.6202
ogbn-arxiv,Simulation-8,49,4.4181,1.3939,0.6079,0.6220,0.6198
ogbn-arxiv,DDP-8,00,0.0506,3.6544,0.0969,0.1064,0.0955
ogbn-arxiv,DDP-8,01,0.0685,3.5522,0.2119,0.1630,0.1498
ogbn-arxiv,DDP-8,02,0.0857,3.4467,0.2015,0.1268,0.1133
ogbn-arxiv,DDP-8,03,0.1030,3.3319,0.1929,0.1060,0.0904
ogbn-arxiv,DDP-8,04,0.1195,3.2105,0.1843,0.0858,0.0677
ogbn-arxiv,DDP-8,05,0.1359,3.0918,0.1804,0.0786,0.0602
ogbn-arxiv,DDP-8,06,0.1520,2.9960,0.1806,0.0793,0.0606
ogbn-arxiv,DDP-8,07,0.1682,2.9369,0.1842,0.0870,0.0667
ogbn-arxiv,DDP-8,08,0.1842,2.9057,0.2064,0.1356,0.1129
ogbn-arxiv,DDP-8,09,0.2001,2.8875,0.2493,0.2353,0.2130
